X,Y,Z,Name,description,gx_media_links
-80.7222283,35.1100646,0,Four Mile Creek Greenway Access,Matthews Estates Road,
-80.724359,35.111262,0,Four Mile Creek Greenway Access,Eden Wood Court,
-80.7283556,35.1019778,0,Four Mile Creek Greenway Access,Brenham Lane,
-80.723145,35.099673,0,Four Mile Creek Greenway Access,Off Pleasant Plains Road,
-80.85212,35.157677,0,Little Sugar Creek Greenway Access,Buckingham Drive,
-80.88043,35.103715,0,Little Sugar Creek Greenway Access,South Boulevard,
-80.8821069,35.0776646,0,Little Sugar Creek Greenway Access,James Polk Historic Site,
-80.8988225,35.0678926,0,Little Sugar Creek Greenway Access,Gilroy Drive,
-80.8274474,35.2229473,0,Little Sugar Creek Greenway Access,Seigle Ave,
-80.8271547,35.2175792,0,Little Sugar Creek Greenway Access,Charlottetowne Ave and Independence Park,
-80.8335972,35.2171033,0,Little Sugar Creek Greenway Access,E 4th St,
-80.8290399,35.2250874,0,Little Sugar Creek Greenway Access,E 10th St,
-80.8149442,35.2407337,0,Little Sugar Creek Greenway Access,Villa Heights,
-80.8151275,35.2429869,0,Little Sugar Creek Greenway Access,N Brevard St,
-80.8522151,35.2379507,0,Irwin Creek Greenway Access,Ray's Splash Planet,
-80.8549184,35.235581,0,Irwin Creek Greenway Access,W Trade Street,
-80.85512,35.2342715,0,Irwin Creek Greenway Access,South Sycamore Street,
-80.855472,35.233849,0,Irwin Creek Greenway Access,South Sycamore Street,
-80.85692,35.232363,0,Irwin Creek Greenway Access,Greenleaf Ave / Westbrook Dr,
-80.86653,35.239057,0,Stewart Creek Greenway Access,S Bruns Ave,
-80.8575308,35.2301747,0,Wesley Heights Greenway Access,Elliot St,
-80.856636,35.2295579,0,Wesley Heights Greenway Access,McNinch St,
-80.8568412,35.2293531,0,Wesley Heights Greenway Access,McNinch St,
-80.8550117,35.2284813,0,Wesley Heights Greenway Access,S Cedar St,
-80.8538956,35.2282394,0,Wesley Heights Greenway Access,S Cedar St,
-80.8515413,35.227281,0,Wesley Heights Greenway Access,S Graham St,
-80.8683058,35.2308516,0,Stewart Creek Greenway Access,Freedom Dr & Woodruff Pl,
-80.868078,35.231796,0,Stewart Creek Greenway Access,Lela Avenue,
-80.869313,35.232596,0,Stewart Creek Greenway Access,Wesley Village Rd,
-80.870634,35.2467,0,Stewart Creek Greenway Access,Yellowstone Dr,
-80.866533,35.250649,0,Stewart Creek Greenway Access,W Trade St,
-80.867847,35.249173,0,Stewart Creek Greenway Access,Zebulon Ave,
-80.86895,35.24809,0,Stewart Creek Greenway Access,Rozzeelles Ferry Rd,
-80.8128166,35.1992888,0,Brair Creek Greenway Access,Mint Museum Plaza,
-80.8146265,35.1869374,0,Briar Creek Greenway Access,Meadowbrook Rd,
-80.8705202,35.3998519,0,Torrence Creek Greenway Access,Cedar River Road,
-80.873198,35.399539,0,Torrence Creek Greenway Access,Moore Mill Rd,
-80.8797282,35.3993305,0,Torrence Creek Greenway Access,Twin Trail Dr,
-80.8770264,35.4020864,0,Torrence Creek Greenway Access,Culcairn Rd,
-80.7860567,35.3523636,0,Clarks Creek Greenway Access,Fairlea Drive,
-80.8325081,35.1737422,0,Briar Creek Greenway Access,Colony Road,
-80.8354784,35.1658604,0,Briar Creek Greenway Access,Runnymede Lane,
-80.836788,35.168264,0,Briar Creek Greenway Access,Runnymede Lane,
-80.8520976,35.0619827,0,Lower McAlpine Creek Greenway Access,Ballantyne Corporate Place,
-80.8663893,35.4472357,0,Caldwell Station Creek Greenway Access,,
-80.8620453,35.4515412,0,Caldwell Station Creek Greenway Access,Psalms St,
